date,avgPubSize,avgEpochsNumber,avgPubPrice,avgBid,totalPubs,totalTracSpent
2022-12-14T00:00:00.000Z,467.0,10.0,0.051306152,0.003750000004111349,1,0.051306152
2022-12-15T00:00:00.000Z,1003.4379,5.0099,0.05516100949704142,0.0037500000009928584,1014,55.93326363
2022-12-16T00:00:00.000Z,1005.4435,5.0,0.05523066258725846,0.0037500000008993217,3312,182.923954489
2022-12-17T00:00:00.000Z,981.2647,5.0,0.053902478658086006,0.0037500000008793013,3302,177.985984529
2022-12-18T00:00:00.000Z,1007.1987,5.0,0.05530012864232041,0.0037478659462471084,3327,183.983527993
2022-12-19T00:00:00.000Z,1140.9284,5.0,0.06267306899866608,0.0037500000009821604,2249,140.951732178
2022-12-20T00:00:00.000Z,1027.0693,5.0,0.05641860104308526,0.0037500000009352595,3319,187.253336862
2022-12-21T00:00:00.000Z,1004.1989,5.0,0.05516229190086473,0.003750000000944215,3238,178.615501175
2022-12-22T00:00:00.000Z,1000.2289,5.0,0.054944214589242056,0.0037500000009464763,3272,179.777470136
2022-12-23T00:00:00.000Z,1011.7545,5.0,0.05557733654258373,0.00375000000088941,2090,116.156633374
2022-12-27T00:00:00.000Z,1006.3281,5.0,0.05527925097826087,0.0037500000009369197,1012,55.94260199
2022-12-28T00:00:00.000Z,1004.236,5.0,0.055164329993150685,0.0037500000009735393,1606,88.593913969
2022-12-29T00:00:00.000Z,1010.0579,5.0,0.05548413605049261,0.003750000000974669,1624,90.106236946
2022-12-30T00:00:00.000Z,1004.8812,5.0,0.055199773470771145,0.0037500000009274884,1608,88.761235741
2022-12-31T00:00:00.000Z,1007.921,5.0,0.05536675104140527,0.0037500000009340357,1594,88.25460116
2023-01-01T00:00:00.000Z,1006.6282,5.0,0.05529573562310606,0.0037500000009604724,1584,87.588445227
2023-01-02T00:00:00.000Z,1010.2723,5.0,0.055495912371501276,0.0037500000009334142,1572,87.239574248
2023-01-03T00:00:00.000Z,1005.6179,5.0,0.05524024208963763,0.0037500000009511583,1573,86.892900807
2023-01-04T00:00:00.000Z,1003.2187,5.0,0.05510845024764299,0.0037500000009279303,1591,87.677544344
2023-01-05T00:00:00.000Z,1002.2831,5.0,0.05505705674131274,0.0037500000009901137,1554,85.558666176
2023-01-06T00:00:00.000Z,1006.5869,5.0,0.05529346935278859,0.0037500000009520443,1542,85.262529742
2023-01-07T00:00:00.000Z,989.2367,5.0,0.054340391928617365,0.003750000000980284,1555,84.499309449
2023-01-08T00:00:00.000Z,992.9717,5.0,0.05454556236830015,0.003750000000988253,1306,71.236504453
2023-01-09T00:00:00.000Z,767.75,5.0,0.0421737665,0.0037500000036782243,4,0.168695066
2023-01-10T00:00:00.000Z,1886.4286,5.0,0.10362461571428572,0.0037500000010862876,7,0.72537231
2023-01-12T00:00:00.000Z,1786.8571,5.0,6.543666294285714,0.25000000004682527,14,91.61132812
2023-01-13T00:00:00.000Z,411.3698,4.0604,1.3057942195177084,0.249541667069999,960,1253.562450737
2023-01-14T00:00:00.000Z,367.0511,4.0,1.0565222794475946,0.24567010341021292,2328,2459.583866554
2023-01-15T00:00:00.000Z,457.7199,4.0,1.318756153318976,0.24585542187765916,3320,4378.270429019
2023-01-16T00:00:00.000Z,455.3844,4.0,1.3136507491360545,0.2461564627860825,294,386.213320246
2023-01-18T00:00:00.000Z,2109.1111,5.0,7.4503173827777776,0.24055555578388227,18,134.10571289
2023-01-19T00:00:00.000Z,510.8731,4.0,1.4746903321706948,0.246314199518214,662,976.244999897
2023-01-20T00:00:00.000Z,509.9895,4.0,1.4741694678508246,0.24666416803829988,1334,1966.542070113
2023-01-22T00:00:00.000Z,510.69,4.0,1.4626607659440354,0.24440353473539253,1358,1986.293320152
2023-01-23T00:00:00.000Z,510.0741,4.0,1.4614008354297296,0.24449034761405267,2590,3785.028163763
2023-01-24T00:00:00.000Z,510.1847,4.0,1.4616225777399807,0.24446938133176896,3119,4558.800819971
2023-01-25T00:00:00.000Z,566.8404,4.0585,1.6869734352925532,0.24470744693569393,376,634.30201167
2023-01-27T00:00:00.000Z,18222.0,5.0,64.06171875,0.24,2,128.1234375
2023-02-02T00:00:00.000Z,509.5792,4.0,1.4442962345846995,0.24185792361287914,183,264.306210929
2023-02-03T00:00:00.000Z,510.2753,4.0,1.450180262861662,0.24251180370894407,2118,3071.481796741
2023-02-04T00:00:00.000Z,510.6887,4.0,1.4486284146754966,0.2420529802644264,151,218.742890616
2023-02-08T00:00:00.000Z,510.3914,4.0,1.4600253031653354,0.24410543142774968,1252,1827.951679563
2023-02-09T00:00:00.000Z,510.7081,4.0,1.4606978442029348,0.24406493924091432,3203,4678.615194982
2023-02-10T00:00:00.000Z,510.5052,4.0,1.4600263784903755,0.24404859589376424,3169,4626.823593436
2023-02-11T00:00:00.000Z,510.4303,4.0,1.4593137478212979,0.2439667222520823,3005,4385.237812203
2023-02-12T00:00:00.000Z,510.6351,4.0,1.457509613135054,0.24356542629192174,1666,2428.211015483
2023-02-13T00:00:00.000Z,510.3051,4.0,1.4559998401665044,0.24347289853081566,3081,4485.935507553
2023-02-14T00:00:00.000Z,510.1838,4.0,1.4542427524920372,0.24323490390754382,3014,4383.087656011
2023-02-15T00:00:00.000Z,509.9096,4.0,1.4539951391862218,0.24332615727578444,1858,2701.522968608
2023-02-20T00:00:00.000Z,510.4439,4.0,1.451044370585366,0.24257839732874376,1435,2082.24867179
2023-02-21T00:00:00.000Z,510.5813,4.0,1.4532923638255855,0.24288710253576892,2861,4157.869452905
2023-02-22T00:00:00.000Z,509.5132,4.0,1.4502224241402413,0.24288075045142554,2239,3247.04800765
2023-02-23T00:00:00.000Z,510.3639,4.0,1.4539022160727082,0.24309448554381613,2847,4139.259609159
2023-02-24T00:00:00.000Z,510.5134,4.0,1.4542636955676522,0.2430852175131824,2875,4181.008124757
2023-02-25T00:00:00.000Z,509.9308,4.0,1.4531786520333907,0.24317728066972963,2905,4221.483984157
2023-02-26T00:00:00.000Z,509.8539,4.0,1.4519347732334973,0.2430091293344508,2848,4135.110234169
2023-02-27T00:00:00.000Z,554.9112,4.0378,1.627334282816594,0.24299854451401984,687,1117.978652295
2023-03-03T00:00:00.000Z,507.6705,4.0,1.4514817115681817,0.24397727282454626,88,127.730390618
2023-03-04T00:00:00.000Z,780.7454,4.0,2.223250914168085,0.24299290786133274,1410,3134.783788977
2023-03-05T00:00:00.000Z,775.5807,4.0,2.2088719557079943,0.24302537106936756,2089,4614.333515474
2023-03-07T00:00:00.000Z,781.9104,4.0,2.227970149177612,0.24314925380742428,670,1492.739999949
2023-03-08T00:00:00.000Z,781.6286,4.0,2.225782437362334,0.2429979036410954,2862,6370.189335731
2023-03-09T00:00:00.000Z,786.178,4.0,2.240414170006356,0.24318149725713153,2832,6344.852929458
2023-03-10T00:00:00.000Z,792.9693,4.0,2.247444918613157,0.24185198434751515,2797,6286.103437361
2023-03-11T00:00:00.000Z,793.4796,4.0,2.2316614722116483,0.24000000007337666,2627,5862.5746875
2023-03-12T00:00:00.000Z,797.7431,4.0,2.243652547393365,0.2400000000805806,1055,2367.0534375
2023-03-13T00:00:00.000Z,794.5743,4.0,2.234740223463687,0.24000000007784492,2685,6000.2775
2023-03-14T00:00:00.000Z,794.7151,4.0,2.235136356768735,0.24000000007784753,2482,5547.6084375
2023-03-15T00:00:00.000Z,793.7679,4.0,2.2324722764371896,0.24000000007785302,2818,6291.106875
2023-03-16T00:00:00.000Z,792.1093,4.0,2.2278072731316727,0.2400000000738611,2810,6260.1384375
2023-03-17T00:00:00.000Z,793.9257,4.0,2.2329158958773783,0.24000000006415795,2838,6337.0153125
2023-03-18T00:00:00.000Z,793.8335,4.0,2.2326565843437947,0.24000000008090824,2804,6260.3690625
2023-03-19T00:00:00.000Z,793.1025,4.0,2.2306009098243096,0.24000000007607933,2789,6221.1459375
2023-03-20T00:00:00.000Z,793.3226,4.0,2.2312197580645163,0.24000000008339042,2790,6225.103125
2023-03-21T00:00:00.000Z,792.5846,4.0,2.229144261999278,0.24000000007107905,2771,6176.95875
2023-03-22T00:00:00.000Z,792.5861,4.0,2.229148426193922,0.24000000007678027,2764,6161.36625
2023-03-23T00:00:00.000Z,792.2866,4.0,2.228306162665711,0.24000000007362537,2791,6219.2025
2023-03-24T00:00:00.000Z,792.7072,4.0,2.2294889334655608,0.2400000000777265,2773,6182.3728125
2023-03-25T00:00:00.000Z,793.2204,4.0,2.230932239057239,0.24000000008162217,2673,5963.281875
2023-03-26T00:00:00.000Z,793.7487,4.0,2.232418311006517,0.24000000008126882,2762,6165.939375
2023-03-27T00:00:00.000Z,794.0336,4.0,2.23321955629398,0.24000000008000094,2558,5712.575625
2023-03-28T00:00:00.000Z,791.0143,3.9927,2.2232303287307973,0.24000000007193234,2734,6078.31171875
2023-03-29T00:00:00.000Z,793.4819,4.0,2.231667761965192,0.240000000074399,2758,6154.9396875
2023-03-30T00:00:00.000Z,793.6661,3.9996,2.232302393101219,0.24000000008095917,2707,6042.842578125
2023-03-31T00:00:00.000Z,794.0029,4.0,2.23313316569888,0.24000000007922664,2411,5384.0840625
2023-04-01T00:00:00.000Z,794.8098,4.0,2.2354024339166045,0.24000000008054492,2686,6004.2909375
2023-04-02T00:00:00.000Z,794.9275,4.0,2.235733619888476,0.2400000000771141,2690,6014.1234375
2023-04-03T00:00:00.000Z,793.3629,4.0,2.2313330876759223,0.24000000007798913,2629,5866.1746875
2023-04-04T00:00:00.000Z,794.2117,4.0,2.233720300075729,0.24000000007375819,2641,5899.2553125
2023-04-05T00:00:00.000Z,793.2566,4.0,2.29414664827196,0.24678941319741607,2607,5980.840312045
2023-04-06T00:00:00.000Z,794.0726,4.0004,2.3165512674289577,0.24886100393991364,2590,5999.867782641
2023-04-07T00:00:00.000Z,796.6793,4.0,2.2410675564854228,0.24004373184912037,2058,4612.117031247
2023-04-08T00:00:00.000Z,793.9696,4.0,2.2330393735363,0.24000000007688932,2562,5721.046875
2023-04-09T00:00:00.000Z,794.6171,4.0,2.2348605549199085,0.24000000007511113,2622,5859.804375
2023-04-10T00:00:00.000Z,794.0016,4.0,2.2331294378698225,0.2400000000711601,2535,5660.983125
2023-04-11T00:00:00.000Z,795.1885,4.0008,2.237030634583959,0.2400003951790391,2531,5661.924536132
2023-04-12T00:00:00.000Z,791.6305,4.0016,2.227600588670132,0.24000079975603103,2501,5571.229072264
2023-04-13T00:00:00.000Z,798.9995,3.9991,2.488294064340734,0.26713879506726773,2207,5491.665
2023-04-14T00:00:00.000Z,799.8441,4.0,2.8812309495896833,0.3074595721492522,1706,4915.38
2023-04-15T00:00:00.000Z,800.9752,4.0,3.1474495114006515,0.33539848565454944,2456,7730.136
2023-04-16T00:00:00.000Z,801.7533,4.0,3.1731766680654636,0.3378268412514023,2383,7561.68
2023-04-17T00:00:00.000Z,801.1332,4.0,3.161125,0.3368153016039905,2304,7283.232
2023-04-18T00:00:00.000Z,801.8305,4.0,3.139260143198091,0.3341780429752747,1676,5261.4
2023-04-19T00:00:00.000Z,800.8823,4.0,3.166909090909091,0.3375379608278774,2277,7211.052
2023-04-20T00:00:00.000Z,868.2278,4.3789,3.219752834821762,0.297119947079753,3428,11037.312717769
2023-04-21T00:00:00.000Z,936.6409,4.7131,3.3134170486736627,0.262574622159682,3907,12945.520409168
2023-04-22T00:00:00.000Z,984.245,5.0,3.3250548236100665,0.2307567176028465,1808,6011.699121087
2023-04-23T00:00:00.000Z,985.767,5.0,3.337129689969729,0.2312285846317985,2841,9480.785449204
2023-04-24T00:00:00.000Z,982.6863,5.0,3.321918605652636,0.23092215602799265,2257,7497.570292958
2023-04-25T00:00:00.000Z,977.243,5.0,3.3337769663185615,0.2330147882247834,2753,9177.887988275
2023-04-26T00:00:00.000Z,987.9156,5.0,3.3307989510227998,0.23179770659025928,2193,7304.442099593
2023-04-27T00:00:00.000Z,987.71,5.0,3.405383547156669,0.2354809631473253,1417,4825.428486321
2023-04-28T00:00:00.000Z,991.2822,5.0,3.440816539409091,0.23704237638818693,528,1816.751132808
2023-04-29T00:00:00.000Z,978.1145,5.0,3.4145762762366414,0.23835730612905912,131,447.309492187
2023-04-30T00:00:00.000Z,989.3864,5.0,3.54123046875,0.2444090956386653,132,467.442421875
2023-05-01T00:00:00.000Z,1010.0,5.0,3.5756894531153844,0.24178066915296142,130,464.839628905
2023-05-02T00:00:00.000Z,1000.0534,5.0,3.572383110687023,0.24397855340040786,131,467.9821875
2023-05-03T00:00:00.000Z,991.916,5.0,3.5709124522900764,0.24590353672525775,131,467.78953125
2023-05-04T00:00:00.000Z,997.8931,5.0,3.5504878339694654,0.24301190767127134,131,465.11390625
2023-05-05T00:00:00.000Z,984.2313,5.0,3.508222947761194,0.24331587449239436,134,470.101875
2023-05-06T00:00:00.000Z,984.0376,5.0,3.5560344219924813,0.24678100928950578,133,472.952578125
2023-05-07T00:00:00.000Z,994.4361,5.0,3.5645252290827067,0.2447914389020278,133,474.081855468
2023-05-08T00:00:00.000Z,997.754,5.0,3.533877418142857,0.241907132899662,126,445.268554686
2023-05-09T00:00:00.000Z,979.7344,5.0,3.579813079828125,0.2495899003994576,128,458.216074218
2023-05-10T00:00:00.000Z,968.97,5.0,3.5331,0.24898494021068374,100,353.31
2023-05-11T00:00:00.000Z,978.2155,5.0,3.4564533943965516,0.24131928352353016,116,400.94859375
2023-05-12T00:00:00.000Z,976.6846,5.0,3.498635967546154,0.24465482897008534,130,454.822675781
2023-05-13T00:00:00.000Z,986.447,5.0,3.54146484375,0.2451511178908767,132,467.473359375
2023-05-14T00:00:00.000Z,998.2748,5.0,3.5507114742366412,0.24297131463885685,131,465.143203125
2023-05-15T00:00:00.000Z,976.1061,5.0,3.4995478959469697,0.25425542683186525,132,461.940322265
2023-05-16T00:00:00.000Z,981.7727,5.0,3.5458207563863637,0.2561149735649559,132,468.048339843
2023-05-17T00:00:00.000Z,984.2537,5.0,3.499065050716418,0.24282393438288022,134,468.874716796
2023-05-18T00:00:00.000Z,968.6565,5.0,3.5031297709923663,0.24691643846460534,131,458.91
2023-05-19T00:00:00.000Z,654.3648,5.0,3.6874794034090908,0.43620894545066885,880,3244.981875
2023-05-20T00:00:00.000Z,638.2506,5.0,3.685583859707447,0.4379589244285945,1692,6236.007890625
2023-05-21T00:00:00.000Z,660.0087,5.0,3.7107170420040485,0.4327576582184038,1729,6415.829765625
2023-05-22T00:00:00.000Z,752.0137,5.0,3.922857261588146,0.41775915522029905,1316,5162.48015625
2023-05-23T00:00:00.000Z,659.5674,5.0,3.70142660329774,0.43247330598435574,1283,4748.930332031
2023-05-24T00:00:00.000Z,661.4305,5.0,3.709393708743984,0.4303612151715352,1496,5549.252988281
2023-05-25T00:00:00.000Z,642.8386,5.0,3.6886432926829267,0.4428148556216928,861,3175.921875
2023-05-26T00:00:00.000Z,655.3359,5.0,3.6958445411392407,0.4318526413205936,1185,4379.57578125
2023-05-27T00:00:00.000Z,681.7457,5.0,3.734472483814008,0.42308584826754875,1699,6344.86875
2023-05-28T00:00:00.000Z,717.4443,5.0,3.811419582709581,0.418094795853791,1670,6365.070703125
2023-05-29T00:00:00.000Z,849.4335,5.0,3.65494232832618,0.32624205577865595,233,851.6015625
2023-05-30T00:00:00.000Z,987.9313,5.0,3.5913048664122136,0.24834053961933908,131,470.4609375
2023-05-31T00:00:00.000Z,976.4692,5.0,3.5836748798076923,0.25064242604585857,130,465.877734375
2023-06-01T00:00:00.000Z,682.9703,5.0,3.6856860525534443,0.42058076881711265,842,3103.34765625
2023-06-02T00:00:00.000Z,690.2742,5.0,3.7245796498610253,0.41915618869073457,1619,6030.094453125
2023-06-03T00:00:00.000Z,654.826,5.0,3.720915185608449,0.4390972827565563,1586,5901.371484375
2023-06-04T00:00:00.000Z,666.2982,5.0,3.7240796875,0.4311351505480711,1650,6144.731484375
2023-06-05T00:00:00.000Z,683.9774,5.0,3.7336811701642336,0.42472625004145587,1370,5115.143203125
2023-06-06T00:00:00.000Z,672.9928,5.0,3.701946331521739,0.4263356897848362,1104,4086.94875
2023-06-07T00:00:00.000Z,669.3484,5.0,3.706530109065594,0.42842297989567363,1616,5989.75265625
2023-06-08T00:00:00.000Z,650.0378,5.0,3.709326062964684,0.4420269502029104,1614,5986.852265625
2023-06-09T00:00:00.000Z,659.199,5.0,3.69096959164227,0.43458211321482026,1216,4488.219023437
2023-06-10T00:00:00.000Z,656.8713,5.0,3.6982263659957315,0.43426765063020156,1640,6065.091240233
2023-06-11T00:00:00.000Z,682.2968,5.0,3.771449342180917,0.43501528271977874,1614,6087.11923828
2023-06-12T00:00:00.000Z,652.5623,5.0,3.7250026275765653,0.43790756728724245,1613,6008.429238281
2023-06-13T00:00:00.000Z,640.1065,5.0,3.6871101517395766,0.44530639065291355,1559,5748.204726562
2023-06-14T00:00:00.000Z,685.1647,5.0,3.728251322413059,0.424761078316558,1409,5253.10611328
2023-06-15T00:00:00.000Z,687.7848,5.0,3.729298753955696,0.42229263114597326,1580,5892.29203125
2023-06-16T00:00:00.000Z,644.8142,5.0,3.683825397381166,0.43796222421191416,1561,5750.451445312
2023-06-17T00:00:00.000Z,643.6483,5.0,3.6797717191496164,0.4421343419089241,1564,5755.16296875
2023-06-18T00:00:00.000Z,651.0768,5.0,3.662347248586708,0.4328065476415463,963,3526.840400389
2023-06-19T00:00:00.000Z,635.6495,5.0,3.6874538070436507,0.44527781767993524,756,2787.715078125
2023-06-20T00:00:00.000Z,650.3561,5.0,3.71597785604459,0.4453988594083442,1525,5666.866230468
2023-06-21T00:00:00.000Z,639.481,5.0,3.6824500998003993,0.443949225765864,1503,5534.7225
2023-06-22T00:00:00.000Z,648.7819,5.0,3.6794959420504854,0.4355948178441898,1545,5684.821230468
2023-06-23T00:00:00.000Z,633.0223,5.0,3.7397993980451365,0.4544106117425809,1573,5882.704453125
2023-06-24T00:00:00.000Z,590.1174,5.0,3.669571161684783,0.45449105805236256,460,1688.002734375
2023-06-26T00:00:00.000Z,582.4063,5.0,3.6973038234866125,0.48476328534517105,859,3175.983984375
2023-06-27T00:00:00.000Z,587.5372,5.0,3.711694768299882,0.48176385353938117,847,3143.80546875
2023-06-28T00:00:00.000Z,633.2287,5.0,3.7800511940238404,0.4652435718581623,1552,5866.639453125
2023-06-29T00:00:00.000Z,604.3246,5.0,3.706582633756427,0.46913338490004763,1556,5767.442578125
2023-06-30T00:00:00.000Z,587.9918,5.0,3.69533009795368,0.47854228500812807,1576,5823.840234375
2023-07-01T00:00:00.000Z,691.1629,5.0,3.8550454491444865,0.43910518893255435,1578,6083.26171875
2023-07-02T00:00:00.000Z,637.2432,5.0,3.7630489864864867,0.4605194922189315,37,139.2328125
2023-07-03T00:00:00.000Z,632.8777,5.0,3.74258831216277,0.4552254703126177,1112,4161.758203125
2023-07-04T00:00:00.000Z,629.8578,5.0,3.73819828539823,0.45611754601553667,1582,5913.8296875
2023-07-05T00:00:00.000Z,673.5086,5.0,3.8444585232725528,0.44667738923618694,1563,6008.888671875
2023-07-06T00:00:00.000Z,608.6314,5.0,3.6990199704142013,0.45750817706421637,1183,4375.940625
2023-07-07T00:00:00.000Z,596.8975,5.0,3.6932300783736474,0.4674688098918383,1571,5802.064453125
2023-07-08T00:00:00.000Z,607.0838,5.0,3.699546171081853,0.4617609745805579,1576,5830.484765625
2023-07-09T00:00:00.000Z,649.5019,5.0,3.7816953428988325,0.45520170138828475,1542,5831.37421875
2023-07-10T00:00:00.000Z,572.3261,5.0,3.715837296195652,0.5011510847460136,138,512.785546875
